user_id,isbn,rating
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276813,8426449476,8
276822,0060096195,10
276822,0375821813,9
276822,0552546933,9
276822,0786817070,10
276847,3257200552,5
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3426029553,8
276847,3442413508,10
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442446414,10
276847,3442448530,7
276847,3442449820,9
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,360893541X,10
276847,3608935428,10
276859,0836218833,10
276859,0836220889,10
276859,088365721X,9
276861,0141011904,9
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276866,3404139178,9
276866,345309221X,8
276872,042518109X,8
276875,8817106100,6
276875,8838910987,8
276904,0440414121,10
276925,002542730X,10
276925,0099414732,7
276925,0140154078,6
276925,0385504209,8
276925,063403541X,6
276925,8420432113,5
276925,950491036X,10
276928,059030271X,5
276928,0671021354,10
276929,2020564777,6
276929,2070404587,10
276929,2264031158,6
276929,2266102621,10
276929,2266104535,2
276939,2070419657,7
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,226612269X,9
276939,8423310353,8
276954,3423118709,10
276964,0345348672,10
276964,0345354621,10
276964,0345435036,10
276964,0425104273,9
276964,0440218667,5
276964,0440220602,9
276964,0684867621,8
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276964,0886775957,10
276988,0061083259,7
276988,0061094404,8
276988,0671793489,8
276994,3423202327,6
276994,3492045170,7
276994,3548359698,6
276994,3596214629,8
277042,0312283709,8
277042,0446605484,7
277042,0446611212,8
277042,0451207955,7
277042,0609804138,9
277042,074343627X,8
277042,0971880107,2
277051,0099845008,5
277051,0330262130,10
277051,0385720920,10
277051,0553262505,7
277087,8472230082,5
277107,081297106X,10
277107,0843951826,5
277157,0312979517,5
277157,0316154059,5
277157,0345450175,6
277157,0345452550,7
277157,0399146504,7
277157,0399146687,7
277157,0399147101,7
277157,0399148337,6
277157,0399148639,6
277157,0399148728,8
277157,0399150811,5
277157,0399151451,7
277157,0425183181,5
277157,0671024094,7
277157,0679450408,6
277157,074320607X,7
277157,0743486226,7
277171,0449213730,8
277171,0451173139,7
277171,0486282406,10
277171,0553580930,9
277171,080410946X,8
277186,0340734043,8
277195,0060391626,10
277195,0330332775,10
277195,055326611X,10
277195,0553347756,10
277195,0553379615,10
277195,0670869902,10
277195,0671021001,10
277195,0671647458,10
277195,1573221856,10
277203,030700645X,8
277203,0307127923,8
277203,0307302016,8
277203,0307302636,8
277203,0307987655,8
277203,039480001X,9
277203,0394800028,9
277203,0394800184,9
277203,039480029X,8
277203,039480967X,8
277203,059044297X,9
277203,0717283194,8
277203,0717283208,8
277203,0717283364,8
